외국어 가능 약국 현황,,,,,
,(2015. 10. 30. 기준),,,,
342,양천구,대우실로암약국,신월5동 18-4,2602-6489,영어
343,양천구,마트온누리약국,목1동 962 목동트라팰리스(지하101),2651-3467,영어
344,양천구,메디팜삼성약국,목동917-7 홈플러스목동점(지하1층),2643-9685,영어
345,양천구,문화약국,신월7동 986-4,2602-5602,영어
346,양천구,수정약국,신정3동 1031-1,2644-3395,영어
347,양천구,신월시장약국,신월1동 115-11,2602-7613,영어
348,양천구,예인약국,신월7동 921-1,2692-4373,영어
349,양천구,오렌지라임약국,신정4동 899-7,2601-8557,영어
350,양천구,월드약국,목5동 907 현대월드타워상가(1층),6678-2244,영어
351,양천구,은혜약국,신정4동 908-15,2698-1635,영어
352,양천구,제민약국,신월1동 229-3,2603-3918,영어
353,양천구,청송온누리약국,목4동 739-1,2651-5319,영어
354,강서구,강서연세약국,화곡로 346 ?(화곡동),2606-1531,영어
355,강서구,대현온누리약국,양천로 556 ?(등촌동)?,2668-2525,영어
356,강서구,바이엘약국,화곡로 110 (화곡동),2607-0217,영어
357,강서구,한빛약국,강서로62길 98 ?(등촌동),2658-7371,영어
358,강서구,부영약국,"강서로56나길 110 ?(등촌동, 부영아파트)?",3663-1809,영어
359,강서구,가양종로약국,양천로 460 ?(등촌동)?,2659-2356,영어
360,강서구,연수당약국,강서로18길 26 ?(화곡동),2694-7582,영어
361,강서구,우리온누리약국,가로공원로76길 100 ?(화곡동),2692-7020,영어
362,강서구,21C세계로약국,화곡로 173 ?(화곡동)?,2607-0624,영어/일어
363,강서구,제일메디칼약국,가로공원로 187 ?(화곡동),6402-3579,영어
364,강서구,국제공항약국,하늘길 38 (방화동),2664-1350,일본어
365,강서구,태평양약국,등촌로 41 ?(화곡동)?,2652-7214,영어
366,강서구,솔약국,양천로 564 (등촌동),3662-8899,영어
367,강서구,예성약국,강서로 143 ?(화곡동),2699-9513,영어/일어
368,구로구,청와약국,구로구 디지털로27길 109 (가리봉동 89-163),855-1482,"중국어, 영어"
369,구로구,좋은약국,구로구 경인로40길 34 (개봉동 173-1),2615-6999,"중국어, 영어"
370,구로구,태영프라자약국,구로구 경인로59길 8 태영프라자 108호 (신도림동 437-1),2068-5733,영어
371,구로구,열린약국,구로구 고척로 142-1 (고척동 253-194),2625-6040,영어
372,구로구,구로프라자약국,구로구 개봉로 28 (개봉동 403-162),2613-6044,영어
373,구로구,한마을약국,구로구 경인로 382 한마을아파트상가 1-110호 (개봉동 476),2613-3006,영어
374,구로구,훼미리약국,구로구 고척로 139 (고척동 253-116),2683-3785,영어
375,구로구,아이사랑태평양약국,"구로구 새말로 15 삼전솔하임 101,102호 (구로동 586-5)",853-3001,영어
376,구로구,종로프라자약국,구로구 구로중앙로 17 (구로동 142-62),839-7422,영어
377,구로구,메디신약국,구로구 목동남로 32 보광빌딩 1층 (고척동 38-8),2687-0322,영어
378,구로구,대학약국,구로구 구로동로 149-1 (구로동 704-58),865-4910,영어
379,구로구,참온누리약국,구로구 오리로 1149 랑데르 B-108호 (오류동 306-4),070-4222-1177,"중국어, 영어"
380,금천구,가산약국,가산로 116(가산동) ,838-1158,영어
381,금천구,토마스약국,시흥대로112길 6(독산동),855-3843,"영어, 독일어"
382,금천구,신양온누리약국,시흥대로58길 38(시흥동),804-1230,중국어
383,금천구,메디팜큰사랑약국,"시흥대로 201, 지하1층(시흥동)",805-8943,영어
384,금천구,윤경약국,남부순환로 1426(독산동),"802-5639, 838-9256",영어
385,금천구,한중약국,독산로 136(시흥동),804-6985,중국어
386,금천구,전진상약국,탑골로3가길 22(시흥동),802-9314,"영어, 불어"
387,금천구,마미약국,"금하로 720, 206호(시흥동)",895-8902,영어
388,금천구,프라자약국,"가산디지털1로 168, A/115(가산동, 우림라이온스밸리)",2026-0011,영어
389,영등포구,평안온누리약국,양평로 24길 9 한신아파트상가,2634-6769,영어
390,영등포구,육교약국,신길로150 ,833-4830,영어
391,영등포구,서울온누리약국,당산로31길 14,3667-1360,영어
392,영등포구,부부정약국,양평로 64,2676-8288,영어
393,영등포구,선경약국,국제금융로2길 24 지하1층,786-1192,영어
394,영등포구,이도약국,당산로31길 6,2633-7167,영어
395,동작구,흑석유약국,동작구 현충로 10길 6 흑석한강센트레빌상가 110호,884-1511,중국어
396,동작구,대일약국,동작구 동작대로27길 22,591-4655,영어
397,동작구,효성약국,동작구 상도로 181,813-0467,"영어, 중국어"
398,동작구,화생약국,동작구 노량진로6길 26,813-1551,중국어
399,동작구,강림약국,동작구 시흥대로 668-2,832-8975,영어
400,동작구,옵티마 다정약국,"동작구 동작대로29길 69 두성프라자120,121호",595-8804,영어
401,동작구,성대약국,동작구 성대로 11,821-1519,일본어
402,동작구,보라매대학약국,동작구 보라매로5길 23 101호,831-1922,영어
403,동작구,해뜨는약국,동작구 양녕로 281 1층,816-3869,영어
404,동작구,사당프라자약국,동작구 사당로 230-1 1층,3474-4170,영어
405,동작구,한빛평화약국,동작구 시흥대로 668,848-4566,"영어,중국어"
406,동작구,신대방약국,동작구 상도로 77,822-1344,영어
407,동작구,해가든약국,동작구 서달로150 해가든상가 202호,821-8531,영어
408,동작구,큰사랑약국,동작구 상도로 47길 99-5,826-8976,영어
409,동작구,열린약국,동작구 보라매로5길 23 지하1층 B117호,849-8250,영어
410,동작구,신세명약국,동작구 서달로 163,812-0993,영어
411,동작구,바다의별약국,동작구 상도로 172,821-3130,영어
412,동작구,신중앙약국,동작구 흑석로 103,822-0443,영어
413,동작구,보라매조은약국,동작구 보라매로5길 23 지하1층 122호,833-9505,"영어, 중국어"
414,동작구,금강약국,동작구 매봉로 178 B02호,817-1918,영어
415,동작구,엄마랑약국,동작구 장승배기로 107,813-1593,"영어, 일본어"
416,동작구,친절한약국,동작구 사당로 224,584-0072,영어
417,동작구,태평양약국,동작구 사당로 227,3477-9477,영어
418,동작구,정다운약국,"동작구 만양로 19 311,312호",6267-7575,영어
419,관악구,튼튼약국,신원로 16 (신림동),856-0528,영어
420,관악구,오렌지약국,관악로 164 (봉천동),888-5887,영어
421,관악구,봉천프라자약국,남부순환로 1734 (봉천동),875-1711,영어
422,관악구,인제약국,원신2길 17 (신림동),877-8597,영어
423,관악구,한미약국,호암로 535 (신림동),878-7949,영어
424,관악구,봄내약국,신림로5길 31 (신림동),882-8234,영어
425,관악구,양생약국,남부순환로234길 27 (봉천동),872-9954,영어
426,서초구,브라운스톤약국,서초대로 334 (서초동.브라운스톤서초),02-598-2545,영어
427,서초구,행복나눔약국,잠원로 24 (반포동) 반포자이프라자상가 4층,02-533-3107,영어
428,서초구,세계로약국,동작대로 38 (방배동),02-3474-2599,영어
429,서초구,민경약국,강남대로 617 (잠원동) 대양빌딩 201호,02-517-0072,영어
430,서초구,아라약국,서초대로77길 3 (서초동)아라타워 1층,02-530-8575,영어
431,서초구,녹십자약국,방배로 25길 4(방배동),02-533-5287,"영어, 일본어"
432,서초구,두리약국,사임당로 180 (서초동) 보원빌딩 201호,02-583-9305,영어
433,서초구,늘푸른약국,반포대로 114 (서초동 SR 타워) 지하1층 103호,02-597-4425,영어
434,서초구,다나약국,효령로 229 (서초동),02-597-3514,영어
435,서초구,양재팜24약국,남부순환로 2575(서초동) 신방빌딩,02-581-8224,영어
436,서초구,신오약국,강남대로61길 7 (서초동),02-3482-3562,영어
437,서초구,킴스약국,잠원로 69 (잠원동) 킴스클럽1층,02-537-5716,영어
438,서초구,강남메디칼약국,방배로 174 (방배동),02-594-0801,영어
439,서초구,하나로약국,청계산로 10 (양재동) 농협하나로클럽 1층,02-578-4955,영어
440,서초구,금화약국 ,반포대로 287 (반포동) 래미안퍼스티지중심상가 125호,02-842-4484,영어
441,서초구,서초삼성약국,"서초대로 74길 23(서초동, 서초타운트라팰리스) 102호",02-3474-0617,영어
442,서초구,스타약국,강남대로 437 (서초동) ,02-3481-6688,영어
443,서초구,사당13번약국,방배천로 5-3 (방배동) 도양빌딩,02-585-2113,"영어, 일본어"
444,서초구,씨티약국,방배로 107 (방배동) ,02-581-0075,일본어
445,서초구,굿모닝약국,신반포로 176 (반포동) 센트럴시티 1층,02-6282-1213,영어
446,서초구,다사랑약국,서초대로74길 11 (서초동) 지하2층,02-581-5773,중국어
447,서초구,신우성약국,잠원동4길 54 (잠원동.매일종합상가) 309호,02-536-3174,영어
448,서초구,교대사랑약국,서초대로 341(서초동),02-3477-0312,영어
449,강남구,포인트약국,"강남구 도산대로 116(논현동, 논현빌딩)",547-3196,영어
450,강남구,소망온누리약국,"강남구 학동로 315(논현동, 소망빌딩)",534-1287,영어
451,강남구,메디팜미래약국,강남구 강남대로 506(논현동),547-4340,영어
452,강남구,미플러스약국,"강남구 강남대로 598(논현동, 보림빌딩 지하1층)",517-2513,영어
453,강남구,파낙스약국,강남구 논현로 629(논현동),518-8766,중국어
454,강남구,제일그랜드약국,강남구 강남대로 478(논현동),546-0093,영어
455,강남구,민생약국,강남구 언주로125길 6(논현동),547-7903,중국어
456,강남구,서울메디약국,강남구 역삼로 406(대치동),501-5063,영어
457,강남구,동성약국,"강남구 삼성로 212(대치동, 은마상가 A-180호)",566-3728,영어
458,강남구,온누리구인당약국,강남구 남부순환로 3032(한보미도종합상가 110호),552-5550,영어
459,강남구,화일약국,강남구 선릉로 328(대치동),"362-8631,2",영어
460,강남구,강남보선약국,"강남구 도곡로 516(대치동, 삼성상가 107호)",568-2310,영어
461,강남구,한티약국,"강남구 선릉로 225(도곡동, 도곡렉슬상가 지하1층 133호)",574-2575,영어
462,강남구,사랑플러스약국,"강남구 선릉로 225(도곡동, 도곡렉슬상가 313호)",2058-2745,영어
463,강남구,연우약국,"강남구 도곡로 242(도곡동, 삼호상가 102호)",557-8672,영어
464,강남구,강남조은약국,"강남구 남부순환로 2633(도곡동, 호림빌딩)",571-9515,영어
465,강남구,참좋은약국,"강남구 테헤란로87길 17(삼성동, 마젤란21상가 103호)",508-1363,영어
466,강남구,삼성건강약국,강남구 삼성로 670(삼성동),517-3520,영어
467,강남구,팜메이트선능수정약국,강남구 선릉로 510(삼성동),558-8025,영어
468,강남구,강남우리온누리약국,"강남구 테헤란로 403(삼성동, 리치타워빌딩)",572-1452,영어
469,강남구,삼성일신약국,강남구 테헤란로 421(삼성동),538-1018,영어
470,강남구,소망약국,"강남구 테헤란로87길 13(삼성동, 서영빌딩)",555-6806,영어
471,강남구,옵티마대영약국,"강남구 삼성로 642(삼성동, 삼성빌딩)",514-7850,영어
472,강남구,수서약국,"강남구 광평로56길 11(수서동, 도시개발(아)6단지상가 109호)",459-2293,중국어
473,강남구,코스모스약국,"강남구 강남대로 626(신사동, 뮤직메트로빌딩)",515-3555,영어
474,강남구,가나안약국,강남구 도산대로 113(신사동),549-8774,영어
475,강남구,태양약국,"강남구 압구정로 150(신사동, 신운빌딩)",3442-4492,영어
476,강남구,압구정미약국,강남구 논현로175길 25(신사동),548-0085,영어
477,강남구,압구정온누리약국,"강남구 압구정로 164(신사동, 아세아빌딩)",514-0777,영어
478,강남구,압구정프라자온누리약국,"강남구 논현로 857(신사동, 계룡빌딩)",511-3801,영어
479,강남구,비원약국,"강남구 논현로 824, 1층 일부(신사동)",541-6939,영어
480,강남구,메디팜압구정약국,"강남구 논현로160길 13(신사동, 명진빌딩)",547-7585,영어
481,강남구,하나약국,"강남구 압구정로 224(신사동, 우미빌딩 207호)",543-6650,영어
482,강남구,예스약국,"강남구 언주로 865(신사동, 태승빌딩)",3445-8214,영어
483,강남구,압구정늘푸른약국,"강남구 압구정로 306(신사동, 반도상가 )",516-8753,영어
484,강남구,압구정약국,강남구 선릉로 845(신사동),543-0701,영어
485,강남구,로데오약국,"강남구 선릉로 823(신사동, 한양타운)",540-4091,영어
486,강남구,봄약국,"강남구 압구정로29길 72-1(압구정동, 신사시장 A동 109호)",543-2251,영어
487,강남구,일번지약국,"강남구 강남대로84길 23(역삼동, 한라클래식)",567-2501,영어
488,강남구,참좋은선약국,"강남구 논현로 507(역삼동, 성지하이츠3차 지하1층7호)",3453-3501,영어
489,강남구,아톰약국,강남구 테헤란로 103(역삼동),562-6575,영어
490,강남구,삼성하나약국,강남구 테헤란로 509(삼성동),569-4130,영어
491,강남구,역삼다인약국,강남구 논현로 521-3(역삼동),3453-3589,영어
492,강남구,온누리기쁜약국,강남구 봉은사로30길 17(역삼동),566-0027,"일어,영어"
493,강남구,다래약국,"강남구 논현로 508(역삼동, GS강남타워 지하1층)",567-9361,영어
494,강남구,온누리해림약국,"강남구 테헤란로 152(역삼동, 스타타워빌딩내 아케이드 지하2층)",2112-2911,영어
495,강남구,신혜성약국,"강남구 논현로 409(역삼동, 백남빌딩)",558-6338~9,영어
496,강남구,아름다운우리약국,강남구 논현로 327(역삼동),564-7582,영어
497,강남구,웰약국,"강남구 강남대로 432(역삼동, 점프밀라노)",6440-5656,영어
498,강남구,더블유스토어강남씨티약국,강남구 강남대로 416(역삼동),553-1608,영어
499,강남구,큰길약국,"강남구 강남대로 370(역삼동, 삼아빌딩 지하1층)",553-1517,영어
500,강남구,목화약국,강남구 양재대로55길 11(일원동),2226-2268,영어
501,강남구,일원역약국,"강남구 일원로 지하 121(일원본동, 일원역구내 348-1호)",02-451-8233,영어
502,강남구,열린약국,"강남구 일원로 95(일원본동, 신영프라자)","3411-1007,1009","일어,영어"
503,강남구,새생명약국,강남구 도산대로 522(청담동),512-3389,영어
504,강남구,영지약국,강남구 도산대로92길 6(청담동),547-3443,영어
505,강남구,건영약국,"강남구 선릉로 806(청담동, 지하1층)",541-7378,영어
506,송파구,가까운이화약국,"송파구 올림픽로43길 30, 지층(풍납동, 우성상가)",489-4383,"영어, 중국어, 일어"
507,송파구,강남대학약국,송파구 강동대로 57(풍납동),473-0111,영어
508,송파구,남매약국,송파구 오금로64길 4(거여동),407-8774,영어
509,송파구,다사랑약국,송파구 올림픽로43길 26(풍납동),477-2590,영어
510,송파구,새독일약국,송파대로 372(송파동),423-9455,영어
511,송파구,이화약산온누리약국,송파구 가락로 211(송파동),419-2755,영어
512,송파구,지앤미약국,송파구 동남로 215(가락동),402-0612,"영어, 일어"
513,송파구,지용약국,송파구 백제고분로48길 27(방이동),415-2336,"영어, 일어"
514,송파구,한독약국,"송파구 중대로 80, 3층(문정동, 롯데마트)",409-3559,독일어
515,송파구,가장큰현대아산약국,송파구 강동대로 67(풍납동),488-4214,영어
516,송파구,훼미리약국,"송파구 중대로 68, 106호(문정동, 샤르망빌딩)",400-2112,영어
517,송파구,그랜드약국,송파구 마천로 35(방이동),418-5662,영어
518,송파구,메디슨약국,"송파구 송이로 111, 1층(가락동, 청석빌딩)",443-7789,영어
519,송파구,첨소망약국,"송파구 양재대로 1222, 올림픽프라자상가 315호(방이동)",408-3393,영어
520,송파구,왕약국,송파구 백제고분로 261(삼전동),2202-5941,영어
521,송파구,대동약국,송파구 가락로 175(송파동),418-6551,영어
522,송파구,상일약국,"송파구 올림픽로35가길 11, 110호(신천동, 한신잠실코아)",414-0185,일본어
523,송파구,옵티마리오약국,"송파구 올림픽로 435, A동 416호(신천동, 파크리오상가A동)",413-8205,영어
524,송파구,시티약국,송파구 올림픽로 116(잠실동),3431-4115,영어
525,송파구,봄약국,송파구 풍성로 55(풍납동),474-3118,영어
526,송파구,우리온누리약국,"송파구 석촌호수로 61, 411호(잠실동, 트리지움상가)",412-5632,"영어, 중국어"
527,송파구,편한대영약국,송파구 강동대로 76(풍납동),485-9100,일어
528,송파구,신아산약국,송파구 강동대로7길 4(풍납동),596-1136,영어
529,송파구,밝은중앙약국,송파구 강동대로 73(풍납동),482-2621,영어
530,송파구,나루역사거리현대약국,"송파구 올림픽로 435, A동 163, 164호(신천동, 파크리오상가A동)",487-1218,영어
531,송파구,올리브약국,송파구 강동대로7길 3(풍납동),477-0969,영어
532,송파구,아산메디칼약국,송파구 강동대로 61(풍납동),488-8575,영어
533,강동구,튼튼온누리약국,"강동구 올림픽로 746, 1층(천호동)",486-1380,영어
534,강동구,길동중앙약국,강동구 천호대로187길 53(길동),484-7747,영어
535,강동구,동아약국,강동구 천호대로 997(천호동),485-4195,영어
536,강동구,덕인약국,강동구 구천면로 287(천호동),471-2772,영어
537,강동구,조이약국,"강동구 천호대로 1006, 306호(천호동)",485-7373,영어
538,강동구 ,옵티마연당약국,강동구 양재대로 1655(명일동),3426-2323,영어
539,강동구,베스트약국,강동구 양재대로 1325(성내동),474-2447,영어
540,강동구 ,강동메디칼약국,강동구 올림픽로 686(천호동),483-0108,영어
541,강동구,강남약국,강동구 양재대로 1355(성내동),486-7823,"중국어, 영어"
542,강동구,명일마트종로약국,"강동구 고덕로 276, 지하(명일동, 이마트)",428-7845,영어
543,강동구,파란약국,강동구 양재대로 1325(성내동),484-2479,영어
544,강동구,대한약국,강동구 천호대로 1027(천호동),483-9165,영어
545,강동구,보운약국,강동구 진황도로61길 42(둔촌동),477-8088,"영어, 일어"
546,강동구,한림약국,강동구 성안로 149(천호동),486-9744,"영어, 일어"
547,강동구,시민당약국,강동구 양재대로 1478(길동),479-8100,영어
548,강동구 ,위드팜천사약국,"강동구 천호대로 1107, 101호(길동)",483-8200,"영어, 일어"
549,강동구,두레약국,강동구 고덕로83길 6(고덕동),429-1662,"영어, 일어"
550,강동구,승민약국,강동구 천호대로 1158(둔촌동),487-1201,일어
